"","person","date","joinTime","leaveTime"
"185","monographic",2014-03-04,2014-03-04 13:55:43,2014-03-04 14:05:12
"186","naturalismus",2014-03-04,2014-03-04 14:07:08,2014-03-04 14:20:24
"187","fenhl",2014-03-04,2014-03-04 14:09:00,2014-03-04 14:10:58
"188","fenhl",2014-03-04,2014-03-04 14:17:47,2014-03-04 15:02:32
"189","naturalismus",2014-03-04,2014-03-04 14:21:42,2014-03-04 14:24:49
"190","naturalismus",2014-03-04,2014-03-04 14:27:12,2014-03-04 14:28:22
"191","naturalismus",2014-03-04,2014-03-04 14:32:59,2014-03-04 14:36:17
"192","naturalismus",2014-03-04,2014-03-04 14:45:37,2014-03-04 14:51:37
"193","naturalismus",2014-03-04,2014-03-04 14:51:39,2014-03-04 14:52:43
"194","naturalismus",2014-03-04,2014-03-04 14:52:45,2014-03-04 14:59:36
"195","naturalismus",2014-03-04,2014-03-04 14:59:49,2014-03-04 15:02:33
"196","fenhl",2014-03-04,2014-03-04 15:02:37,2014-03-04 15:09:09
"197","naturalismus",2014-03-04,2014-03-04 15:02:39,2014-03-04 15:16:21
"198","fenhl",2014-03-04,2014-03-04 15:10:30,2014-03-04 15:23:09
"199","naturalismus",2014-03-04,2014-03-04 15:17:13,2014-03-04 15:34:17
"200","fenhl",2014-03-04,2014-03-04 15:30:33,2014-03-04 15:59:50
"201","naturalismus",2014-03-04,2014-03-04 15:34:45,2014-03-04 15:49:32
"202","naturalismus",2014-03-04,2014-03-04 15:49:38,2014-03-04 15:51:27
"203","naturalismus",2014-03-04,2014-03-04 15:51:33,2014-03-04 15:53:27
"204","naturalismus",2014-03-04,2014-03-04 15:53:31,2014-03-04 16:08:15
"205","naturalismus",2014-03-04,2014-03-04 16:09:39,2014-03-04 16:42:52
"206","alexex",2014-03-04,2014-03-04 16:23:14,2014-03-04 16:23:52
"207","fenhl",2014-03-04,2014-03-04 16:29:34,2014-03-04 18:12:47
"208","naturalismus",2014-03-04,2014-03-04 16:42:56,2014-03-04 16:45:10
"209","naturalismus",2014-03-04,2014-03-04 16:45:15,2014-03-04 16:48:43
"210","naturalismus",2014-03-04,2014-03-04 16:54:01,2014-03-04 17:03:44
"211","naturalismus",2014-03-04,2014-03-04 17:04:24,2014-03-04 17:06:57
"212","naturalismus",2014-03-04,2014-03-04 17:06:59,2014-03-04 17:11:17
"213","naturalismus",2014-03-04,2014-03-04 17:11:23,2014-03-04 18:41:40
"214","fenhl",2014-03-04,2014-03-04 18:16:40,2014-03-04 20:02:44
"215","naturalismus",2014-03-04,2014-03-04 18:41:45,2014-03-04 19:05:26
"216","naturalismus",2014-03-04,2014-03-04 19:06:13,2014-03-04 19:09:09
"217","naturalismus",2014-03-04,2014-03-04 19:09:11,2014-03-04 19:15:00
"218","naturalismus",2014-03-04,2014-03-04 19:15:05,2014-03-04 19:16:20
"219","naturalismus",2014-03-04,2014-03-04 19:17:38,2014-03-04 19:18:25
"220","naturalismus",2014-03-04,2014-03-04 19:18:29,2014-03-04 19:59:12
"221","naturalismus",2014-03-04,2014-03-04 19:59:17,2014-03-04 20:02:48
"222","naturalismus",2014-03-04,2014-03-04 20:02:52,2014-03-04 20:25:54
"223","fenhl",2014-03-04,2014-03-04 20:02:54,2014-03-04 21:16:44
"224","naturalismus",2014-03-04,2014-03-04 20:25:59,2014-03-04 20:28:53
"225","naturalismus",2014-03-04,2014-03-04 20:28:58,2014-03-04 20:30:56
"226","naturalismus",2014-03-04,2014-03-04 20:31:02,2014-03-04 20:33:43
"227","naturalismus",2014-03-04,2014-03-04 20:33:48,2014-03-04 20:41:29
"228","naturalismus",2014-03-04,2014-03-04 20:41:48,2014-03-04 20:43:51
"229","naturalismus",2014-03-04,2014-03-04 20:44:10,2014-03-04 20:46:44
"230","naturalismus",2014-03-04,2014-03-04 20:46:49,2014-03-04 20:54:56
"231","fenhl",2014-03-04,2014-03-04 21:19:01,2014-03-04 21:53:50
"232","naturalismus",2014-03-04,2014-03-04 22:16:21,2014-03-04 22:26:19
"233","naturalismus",2014-03-04,2014-03-04 22:41:48,2014-03-04 23:31:02
"234","fenhl",2014-03-04,2014-03-04 23:25:39,2014-03-05 00:00:00
"235","naturalismus",2014-03-04,2014-03-04 23:31:19,2014-03-05 00:00:00
"236","fenhl",2014-03-05,2014-03-05 00:00:00,2014-03-05 01:41:03
"237","naturalismus",2014-03-05,2014-03-05 00:00:00,2014-03-05 00:26:06
"238","naturalismus",2014-03-05,2014-03-05 00:26:18,2014-03-05 00:42:53
"239","fenhl",2014-03-05,2014-03-05 01:42:00,2014-03-05 01:43:09
"240","fenhl",2014-03-05,2014-03-05 01:43:26,2014-03-05 01:47:07
"241","fenhl",2014-03-05,2014-03-05 01:47:57,2014-03-05 01:51:36
"242","fenhl",2014-03-05,2014-03-05 01:53:29,2014-03-05 02:01:35
"243","fenhl",2014-03-05,2014-03-05 02:02:41,2014-03-05 02:35:44
"244","naturalismus",2014-03-05,2014-03-05 02:02:42,2014-03-05 02:36:48
"245","fenhl",2014-03-05,2014-03-05 02:36:54,2014-03-05 02:36:55
"246","naturalismus",2014-03-05,2014-03-05 02:37:10,2014-03-05 02:46:53
"247","fenhl",2014-03-05,2014-03-05 02:37:47,2014-03-05 03:42:42
"248","naturalismus",2014-03-05,2014-03-05 02:47:01,2014-03-05 02:57:53
"249","naturalismus",2014-03-05,2014-03-05 02:58:14,2014-03-05 03:10:20
"250","naturalismus",2014-03-05,2014-03-05 03:10:31,2014-03-05 03:11:42
"251","naturalismus",2014-03-05,2014-03-05 04:22:57,2014-03-05 05:04:24
"252","naturalismus",2014-03-05,2014-03-05 05:04:29,2014-03-05 06:15:54
"253","naturalismus",2014-03-05,2014-03-05 14:47:38,2014-03-05 16:02:41
"254","naturalismus",2014-03-05,2014-03-05 16:03:54,2014-03-05 16:34:02
"255","naturalismus",2014-03-05,2014-03-05 16:46:37,2014-03-05 17:15:11
"256","bl1nk",2014-03-05,2014-03-05 18:17:30,2014-03-05 18:21:49
"257","naturalismus",2014-03-05,2014-03-05 23:26:03,2014-03-05 23:49:32
